Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
"Quality Mold, Inc.",CY,,http://www.qualitymolderie.com,qualitymolderie.com,AMBA,8130 Hawthorne Drive,Erie,PA,16509,(814) 866-2255,Medical; Automotive; Industrial,Plastic injection molds; CNC machining; EDM services; Mold validation & repair,"28,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$11M (calc from employees),,Privately held,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,No,,W.Pa,Yes,
"Adler Rapid Mold (Rapid Mold Solutions, Inc.)",CY,,http://www.rapidmoldsolutions.com,rapidmoldsolutions.com,AMBA,1008 SE Browning St,Lee's Summit,MO,64081,(415) 329-6877,Automotive; Medical; Consumer goods; Electronics,Rapid tooling & prototyping; Injection mold design/build; CNC machining & EDM; Mold repair,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$7M (calc from employees),23,Privately held,Makino F5 (3-axis) ×2; Sodick VL600Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,,Yes,No,,No region,Yes,
JMMS Die & Mold,CY,,http://www.jmmsinc.com,jmmsinc.com,AMBA,807 Sheffield Road,Easley,SC,29642,(864) 855-0450,Automotive; Medical devices; Consumer products; Industrial,Injection mold design & build; Automation & assembly systems; CNC machining & EDM; Mold maintenance & repair,"45,000 (site)",~65 (site); ~70 (public: LinkedIn 2024),~$14M (calc from employees),~42,Family-owned,Makino V56i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,Yes,,No region,Yes,
United Tool & Mold Inc. (UTM),CY,,http://www.utminc.com,utminc.com,AMBA,106 Financial Blvd.,Liberty,SC,29657,(864) 859-8300,Automotive; Consumer products; Packaging,Large mold repair; Engineering changes; Preventive maintenance; Mold refurbishment,"70,000 (combined facilities)",~100 (site); ~110 (public: LinkedIn 2024),~$22M (calc from employees),~30,Privately held,null,Yes,,Yes,,"Duncan, SC (facility)",No region,No,
Prairie Tool Company,CY,,http://www.prairietool.net,prairietool.net,AMBA,723 Commerce St.,Aberdeen,SD,57401,(605) 225-4028,Automotive; Consumer goods; Industrial,Plastic injection molds; CNC machining; EDM services; Mold maintenance & repair,"18,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),~$7.5M (calc from employees),,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,Yes,Yes,,,No region,No,
Moldesign,CY,,http://www.moldesign.com,moldesign.com,AMBA,4720 Middlebrook Pike,Knoxville,TN,37921,(865) 588-3774,Automotive; Consumer products,Plastic injection molds; Mold engineering & design; CNC machining; EDM services,"20,000 (site)",~40 (site); ~45 (public: LinkedIn 2024),~$9M (calc from employees),,Privately held,Makino V33i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,,,,No region,No,
Detail Mold & Manufacturing LLC,CY,,http://www.detailmold.com,detailmold.com,AMBA,14773 Ranch Road 2338,Georgetown,TX,78633,(512) 255-0525,Automotive; Medical; Consumer products,Injection mold design & build; CNC machining; EDM services; Mold maintenance & revisions,"15,000 (site)",~35 (site); ~38 (public: LinkedIn 2024),~$7M (calc from employees),~35,Privately held,Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,,,No region,Yes,
Lowrance Machine Shop,CY,,http://www.lowrancemachine.com,lowrancemachine.com,AMBA,13510 East Hardy Road,Houston,TX,77039,(281) 449-6524,Automotive; Consumer goods; Aerospace,Plastic injection molds; CNC machining; EDM services; Mold repair,"12,000 (site)",~25 (site); ~28 (public: LinkedIn 2024),~$5M (calc from employees),,Privately held,null,Yes,,Yes,,,No region,No,
"Schaefer Mold, Inc.",CY,,http://www.schaefermold.com,schaefermold.com,AMBA,2358 Blue Smoke Court N.,Fort Worth,TX,76105,(817) 534-7461,Automotive; Medical; Consumer products,Plastic injection molds; Mold design & engineering; CNC machining & EDM; Mold repair & maintenance,"20,000 (site)",~45 (site); ~48 (public: LinkedIn 2024),~$9.5M (calc from employees),,Privately held,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,,,No region,Yes,
Solution Tools,C?,,http://www.solution-tools.com,solution-tools.com,AMBA,6989 Commerce Ave.,El Paso,TX,79915,(915) 594-0040,Automotive; Consumer products; Industrial,Injection mold design & build; CNC machining; EDM; Mold repair,"10,000 (site)",~20 (site); ~22 (public: LinkedIn 2024),~$4.5M (calc from employees),,Privately held,null,Yes,,Yes,,,No region,No,
"AJ Tool & Manufacturing, LLC",CN,,http://www.ajtoolmfg.com,ajtoolmfg.com,AMBA,3026 Beechwood Industrial Ct.,Hubertus,WI,53033,(262) 628-4445,Automotive; Industrial; Consumer products,Plastic injection mold design & build; CNC machining; EDM (wire & sinker); Mold repair & maintenance,"22,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$10M (calc from employees),~50,Privately held,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,,,Wisc,No,
Apollo Tool Inc.,CY,,http://www.apollo-tool.com,apollo-tool.com,AMBA,4th St Cardinal Dr,Westfield,WI,53964,(608) 296-2112,Automotive; Medical; Consumer products; Packaging,Injection mold design & build; CNC machining; EDM services; Mold testing & sampling; Mold maintenance & repair,"30,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$12M (calc from employees),~54,Privately held,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,,,Wisc,Yes,
Carlson Tool & Manufacturing,CY,,http://www.carlsontool.com,carlsontool.com,AMBA,2020 W57 N14386 Doerr Way,Cedarburg,WI,53012,(800) 532-2252,Automotive; Aerospace; Energy; Consumer products,Large injection molds; Precision machining; Deep-hole gun drilling; CNC machining; Mold repair & revisions,"100,000+ (site)",~200 (public: LinkedIn 2024),~$40M (calc from employees),~66,Family-owned,null,Yes,Yes,Yes,Yes,,Wisc,No,
CDM Tool & Manufacturing,CY,,http://www.cdmtool.com,cdmtool.com,AMBA,749 North Wacker Drive,Hartford,WI,53027,(262) 673-5620,Automotive; Medical; Packaging; Consumer goods,Plastic injection molds; CNC machining; EDM (wire & sinker); Mold design & engineering; Maintenance & repair,"45,000 (site)",~70 (site); ~75 (public: LinkedIn 2024),~$15M (calc from employees),~62,Privately held,Makino D200Z (5-axis) ×2; Makino F5 (3-axis) ×3; Sodick VL600Q (Wire EDM) ×2; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,,,Wisc,Yes,
Classic Tool & Die,C?,,http://www.classtd.com,classtd.com,AMBA,1904 Industrial Drive,Sandusky,OH,44870,(419) 626-2111,Automotive; Consumer products; Electronics,Injection mold design & build; Die tooling; CNC machining; EDM; Mold repair,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$6.5M (calc from employees),,Privately held,Makino V56i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,,,No region,No,
"Compumold Tool & Design, Inc.",CY,,http://www.compumold.com,compumold.com,AMBA,710 S Airport Rd.,Phillips,WI,54555,(715) 339-3000,Medical; Packaging; Consumer products; Automotive,High-cavitation injection molds; Mold design & engineering; CNC machining; EDM services; Mold repair,"20,000 (site)",~40 (site); ~42 (public: LinkedIn 2024),~$8.5M (calc from employees),,Privately held,Makino F5 (3-axis) ×2; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,,,Wisc,Yes,
D & S Mold & Tool,C?,,http://www.dsmold.com,dsmold.com,AMBA,2417 Cleveland Ave,Marinette,WI,54143,(715) 732-0504,Automotive; Consumer products; Industrial,Injection mold design & build; CNC machining; EDM; Mold maintenance & repair,"18,000 (site)",~35 (site); ~38 (public: LinkedIn 2024),~$7.5M (calc from employees),~57,Privately held,Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,,,Wisc,No,
Dynamic Tool Corporation,CY,,http://www.dyntool.com,dyntool.com,AMBA,6340 W133 N5180 Campbell Drive,Menomonee Falls,WI,53051,(262) 783-6340,Aerospace & Defense; Automotive; Medical; Industrial,Injection mold design & build; Aerospace machining; CNC machining; EDM services; Automation integration,"250,000+ (combined facilities)",~300 (public: LinkedIn 2024),~$65M (calc from employees),~38,Family-owned (Oscar & Agata Feltes),Makino F8 (3-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,Yes,,Wisc,Yes,
"Innovation Mold and Design, Inc.",CY,,http://www.innovationmold.com,innovationmold.com,AMBA,N118 W18988 Bunsen Drive,Germantown,WI,53022,(262) 251-8201,Automotive; Medical; Packaging; Consumer products,Plastic injection molds; CNC machining; EDM services; Mold design & engineering; Repair & maintenance,"14,000 (site)",~30 (site); ~32 (public: LinkedIn 2024),~$6M (calc from employees),,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,,,Wisc,Yes,
Kaysun Corporation,CY,,http://www.kaysun.com,kaysun.com,AMBA,5500 West Drive,Manitowoc,WI,54220,(920) 686-5800,Medical devices; Automotive; Industrial; Consumer products,Plastic injection mold design & build; Scientific injection molding; Engineering & DFM support; Overmolding & insert molding; Automated assembly; Validation & testing,"170,000 (site)",~300,~$75M (2023),~78,Employee-owned,null,Yes,,Yes,,,Wisc,Yes,
M&M Tool and Mold,CY,,http://www.mmtoolandmold.com,mmtoolandmold.com,AMBA,3300 Commodity Lane,Green Bay,WI,54304,(920) 336-6474,Automotive; Medical; Consumer products; Packaging,Injection mold design & build; High-cavitation molds; CNC machining; EDM; Mold repair & revisions,"35,000 (site)",~60–65,~$12.5M,~60,Family-owned,Makino F5 (3-axis) ×2; Sodick AG600L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,Yes,,Wisc,Yes,
"Master Tool and Mold, Inc.",CY,,http://www.mastertoolandmold.com,mastertoolandmold.com,AMBA,"765 N. 11th Ave., P.O. Box 152",Grafton,WI,53024,(262) 377-8030,Automotive; Packaging; Consumer products; Industrial,Large & high-cavitation molds; Mold design & build; CNC machining & EDM; Mold repair & maintenance,"30,000 (site)",~50–55,~$10M,~55,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,,,Wisc,,
Mauston Tool Corporation,CY,,https://www.maustontool.com,maustontool.com,AMBA,1015 Parker Drive,Mauston,WI,53948,(608) 847-5162,Automotive; Consumer products; Packaging; Industrial,Plastic injection molds; Tooling & fixtures; CNC machining; EDM services; Mold maintenance,"14,000 (site)",~25–28,~$5.5M,~60,Privately held,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,,,Wisc,,
Omega Tool,CN,,http://www.omega-tool.com,omega-tool.com,AMBA,1055 Clark Road,Windsor,Ontario N8N,1B1,(262) 255-0205,Automotive; Medical; Packaging; Consumer products,Injection mold design & build; CNC machining; EDM (wire & sinker); Mold repair & engineering changes,"18,000 (site)",~40–42,~$8.5M,~41,Privately held,Makino D200Z (5-axis) ×3; Sodick AG600L (Wire EDM) ×2; Hexagon Global (CMM) ×1,Yes,Yes,Yes,,,Canada,Yes,
"RAM Tool, Inc.",CY,,http://www.ramtoolinc.com,ramtoolinc.com,AMBA,1420 Cheyenne Ave.,Grafton,WI,53024,(262) 375-3036,Automotive; Packaging; Industrial,Injection mold design & build; CNC machining; EDM; Mold repair & maintenance,"15,000 (site)",~30–32,~$6M,~55,Privately held,Makino F8 (3-axis) ×2; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,,,Wisc,,
Retlaw Industries Inc.,CY,,http://www.retlawindustries.com,retlawindustries.com,AMBA,520 Industrial Drive,Hartland,WI,53029,(888) 412-9188,Industrial; Agriculture; Consumer products; Energy,Plastic injection molds; Custom molding; Mold design & engineering; Secondary operations,"50,000 (site)",~80,~$16M,~47,Family-owned,Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,Yes,,Yes,,Wisc,,
Sheridan Mold & Engineering Inc.,CY,,http://www.sheridanmold.com,sheridanmold.com,AMBA,,,,,(414) 481-8203,Automotive; Aerospace; Consumer products,Compression molds; Plastic injection molds; Thermoset tooling; Mold repair,"20,000 (site)",~45–48,~$9M,~70,Privately held,Makino V56i (3-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,,,No region,,
Snider Mold Company,CY,,http://www.snidermold.com,snidermold.com,AMBA,6303 West Industrial Drive,Mequon,WI,53092,(262) 242-0870,Automotive; Housing & construction; Industrial; Consumer goods,Injection molds (high & low pressure); Compression molds (SMC/BMC); Structural foam molds; CNC machining; Secondary tooling & equipment,"55,000 (site)",~75–80,~$16M,~60,Privately held,Makino F5 (3-axis) ×2; Sodick AG600L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,,,,,Wisc,,
Stellar Mold & Tool,CY,,http://www.stellarmold.com,stellarmold.com,AMBA,20850 West Gale Ave,Galesville,WI,54630,(608) 582-4118,Automotive; Medical; Consumer products; Aerospace,Plastic injection molds; CNC machining; EDM (wire & sinker); Laser micro welding; Reverse engineering,"20,000 (site)",~55–60,~$12M,~47,Privately held,Makino D200Z (5-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,Yes,,,,Wisc,Yes,
Triangle Tool LLC,CY,,http://www.triangletoolcorp.com,triangletoolcorp.com,AMBA,8609 W Port Ave,Milwaukee,WI,53224,(414) 357-7117,Automotive; Aerospace; Consumer products; Industrial; Appliance,"Large injection mold design & build (up to 100,000 lbs); High cavitation molds; CNC machining; EDM (wire & sinker); Mold sampling & tryouts; Mold repair & engineering changes; Specialty machining","180,000 (site)",~180 (public: LinkedIn 2024),~$35M (public: ZoomInfo 2023),~56,Family-owned (2nd generation),5-axis CNC (large-frame); 3-axis CNC; wire/sinker EDM; tryout presses,Yes,Yes,Yes,Yes,,Wisc,No,
Advanced Tooling,C?,C?,https://www.advancedtooling.com,advancedtooling.com,LinkedIn,1225 Corporate Drive,Burlington,ON,L7L 5V5,(905) 335-0671,Automotive; Aerospace; Industrial,Plastic injection molds; Die cast tooling; Precision CNC machining; Fixtures and gages; Engineering and design,"40,000 (site)",~50 (public: LinkedIn 2024),~$12M (calc from employees),~40,Privately owned,Makino F5 (3-axis) ×2; Sodick VL600Q (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,,No,,Canada,No,
"Marion Tool & Die, Inc.",CY,CY,https://mariontool.com,mariontool.com,LinkedIn,7632 Freedom Way,Fort Wayne,IN,46818,(260) 432-9593,Automotive; Appliance; Industrial,Injection mold design/build; Precision dies; CNC machining; Repair and engineering changes; Tooling support,"25,000 (site)",~40 (public: LinkedIn 2024),~$8M (calc),~70,Family-owned,Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,Yes,,No region,No,
"Evans Tool & Engineering, Inc.",CY,CY,https://evanstool.com,evanstool.com,LinkedIn,3545 29th Street SE,Grand Rapids,MI,49512,(616) 241-3040,Automotive; Consumer products; Electronics,Injection molds; Precision stamping dies; High-volume stamping; Tool design and build; Maintenance and repair,"70,000 (site)",~90 (public: LinkedIn 2024),~$22M (public: ZoomInfo 2023),~76,Privately held,High-volume stamping presses; CNC machining; EDM,Yes,,Yes,No,,Mich,No,
"Mayer Tool & Engineering, Inc.",CY,CY,https://mayertool.com,mayertool.com,LinkedIn,700 N. Centerville Road,Sturgis,MI,49091,(269) 651-9220,Automotive; Industrial; Consumer products,Precision injection molds; Tool design and engineering; CNC machining; Mold maintenance and repair; Production support,"85,000 (site)",~120 (public: LinkedIn 2024),~$24–28M,~57,Privately held,CNC machining centers; EDM machines,Yes,,Yes,No,,Mich,No,
"Matrix Tooling, Inc.",CY,CY,https://www.matrixtooling.com,matrixtooling.com,indeed,35W116 Valley View Road,Dundee,IL,60118,(847) 428-5661,Automotive; Aerospace; Consumer products; Medical,Prototype & low-volume injection molds; CNC machining; Design and engineering; Mold sampling; 3D printing,"40,000 (site)",~60 (public: LinkedIn 2024),~$12M (calc),~42,Privately held,null,Yes,,,No,,Ilin,Yes,
Phoenix Tool Company,CY,CY,https://www.phoenixtoolco.com,phoenixtoolco.com,indeed,461 Rochester Street,Avon,NY,14414,(585) 226-6177,Automotive; Industrial; Electronics,Plastic injection molds; Precision tooling; Engineering design; CNC machining; Mold repair and maintenance,"55,000 (site)",~75 (public: LinkedIn 2024),~$15M (public: D&B 2023),~39,Privately held; family-owned,Makino D200Z (5-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,Yes,,No region,No,
"B.A. Die Mold, Inc.",CY,CY,https://www.badie.com,badie.com,indeed,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Automotive; Packaging; Consumer goods,Large injection mold builds; Engineering & design; CNC machining; Mold repair and changes; Tryout services,"70,000 (site)",~85 (public: LinkedIn 2024),~$17M (public: ZoomInfo 2023),~70,Privately owned,Makino F5 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,,Yes,Yes,,Ilin,No,
"Quist Mold & Machine, Inc.",CY,CY,https://www.quistmold.com,quistmold.com,indeed,1590 Jarvis Avenue,Elk Grove Village,IL,60007,(847) 439-4500,Packaging; Printing; Industrial,Steel rule dies; Rotary tooling; Die cutting systems; Tooling design; Support & repair,"110,000+ (site & branches)",~200 (public: LinkedIn 2024),~$45M (public: D&B 2023),~53,Privately owned,Rotary die tooling equipment; CNC machining,Yes,,Yes,No,,Ilin,No,
"Accu-Mold, Inc.",CY,CY,https://www.accu-moldinc.com,accu-moldinc.com,indeed,1917 W. Washington Street,Springfield,IL,62702,(217) 793-0080,Aerospace & Defense; Automotive; Medical; Industrial,Injection mold design & build; Aerospace machining; Precision tooling; CNC machining; Engineering & design,"200,000+ (multiple facilities)",~350 (public: LinkedIn 2024),~$75M (public: ZoomInfo 2023),~39,Privately held (family-owned),CNC machining centers; EDM; precision tooling systems,Yes,,,Yes,,Ilin,Yes,
"Elite Mold & Engineering, Inc.",CY,CY,https://elitemoldandengineering.com,elitemoldandengineering.com,LinkedIn,12155 Universal Drive,Taylor,MI,48180,(734) 946-6430,Automotive; Aerospace; Industrial; Consumer goods,Tool & die manufacturing; Injection molds; Precision machining; Mold repair & engineering changes,"30,000 (site)",~45 (public: LinkedIn 2024),~$9M (calc from employees),,Family-owned business,Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,Yes,,Mich,No,
"Digital Tool & Die, Inc.",CY,CY,https://www.digitaltool.com,digitaltool.com,LinkedIn,2606 Sanford Ave SW,Grandville,MI,49418,(616) 532-8020,Aerospace; Automotive; Industrial,Plastic injection molds; Aerospace machining; Precision tooling; CNC machining; Engineering & design,"120,000 (site)",~150 (public: LinkedIn 2024),~$40M (public: ZoomInfo 2023),,Privately owned,null,Yes,Yes,Yes,No,,Mich,No,
"Dura Mold, Inc.",CY,CY,https://www.duramoldinc.com,duramoldinc.com,LinkedIn,3390 W. Linco Road,Stevensville,MI,49127,(269) 465-3301,Automotive; Appliance; Industrial,Precision metal stamping; Tool & die building; Injection molds; CNC machining; Assembly & sub-assembly,"140,000 (site)",~220 (public: LinkedIn 2024),~$55M (public: D&B 2023),,Privately owned,null,Yes,No,Yes,No,,Mich,No,
"Dynamic Dies, Inc.",C?,C?,https://www.dynamicdies.com,dynamicdies.com,LinkedIn,2060 Indian Wood Circle,Maumee,OH,43537,(419) 893-9595,Automotive; Consumer products; Industrial,Injection molds; Tool & die manufacturing; CNC machining; Mold repair & support; Prototyping,"60,000 (site)",~80 (public: LinkedIn 2024),~$16M (calc from employees),,Privately owned,Makino F5 (3-axis) ×2; Sodick AQ325L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,No,Yes,No,,No region,No,
Dynomax Inc.,C?,C?,https://www.dynomaxinc.com,dynomaxinc.com,LinkedIn,1535 Abbott Drive,Wheeling,IL,60090,(847) 680-8833,Automotive; Appliance; Aerospace; Electronics,Metal stamping; Progressive dies; Injection mold tooling; CNC machining; Assemblies,"100,000 (site)",~140 (public: LinkedIn 2024),~$35M (public: ZoomInfo 2023),,Family-owned; multi-generation leadership,null,Yes,No,Yes,Yes,,Ilin,No,
Galaxy Tool Corporation,CY,CY,https://www.galaxytool.com,galaxytool.com,LinkedIn,111 Enterprise Dr.,Winfield,KS,67156,(620) 221-6262,Powersports; Industrial; Marine; Consumer goods,Rotational molding; Thermoforming; Vacuum forming; Plastic fabrication; Custom tooling,"145,000 (site)",~200 (public: LinkedIn 2024),~$50M (public: D&B 2023),,Privately owned,null,Yes,No,Yes,No,,No region,No,
"St. Charles Stamping, Inc.",CY,CY,https://www.stcharlesstamping.com,stcharlesstamping.com,LinkedIn,2000 Ohio Avenue,St. Charles,IL,60174,(630) 377-0400,Automotive; Appliance; Industrial,Metal stampings; Progressive dies; Assemblies; Tooling design and build,"150,000+ (site)",~250 (public: LinkedIn 2024),~$60M (public: ZoomInfo 2023),,Privately held,null,Yes,No,Yes,No,,Ilin,No,
Steel Craft Technologies,CY,CY,https://www.steelcrafttech.com,steelcrafttech.com,LinkedIn,1000 Steelcraft Drive SE,Grand Rapids,MI,49508,(616) 245-1717,Aerospace; Medical; Industrial; Defense,Precision machining; Mold manufacturing; Grinding & EDM; Engineering and design; Prototype and production,"100,000 (site)",~180 (public: LinkedIn 2024),~$42M (public: ZoomInfo 2023),,Privately owned,null,Yes,Yes,Yes,No,,Mich,Yes,
Manor Tool & Manufacturing Company,CY,CY,https://www.manortool.com,manortool.com,LinkedIn,9200 Ivanhoe Street,Schiller Park,IL,60176,(847) 678-6464,Aerospace; Defense; Medical; Industrial,CNC turning & milling; Grinding & EDM; Complex assemblies; Prototyping; Production machining,"~40,000 (public)",50–100 (public: LinkedIn 2024),~$15M (calc from employees),,Family-owned,null,Yes,Yes,Yes,Yes,,Ilin,Yes,
"Meyer Tool, Inc.",C?,C?,https://www.meyertool.com,meyertool.com,LinkedIn,3055 Colerain Avenue,Cincinnati,OH,45225,(513) 681-0500,Automotive; Heavy truck; Industrial,Injection molds; Metal stamping dies; Tooling design; CNC machining; Engineering changes,"100,000+ (site)",~175 (public: LinkedIn 2024),~$40M (public: D&B 2023),,Family-owned,null,Yes,Yes,Yes,Yes,,No region,No,
"Universal Metal Products, Inc.",CY,CY,https://www.universalmetalproducts.com,universalmetalproducts.com,LinkedIn,29980 Lakeland Blvd,Wickliffe,OH,44092,(440) 943-3040,Medical devices; Electronics; Industrial; Consumer products,Precision mold design & build; Plastic injection molding; Product development; Engineering changes & maintenance; Validation and sampling,"60,000 (site)",~120 (public: LinkedIn 2024),~$25M (public: D&B 2023),,Family-owned,null,Yes,Yes,Yes,Yes,,No region,Yes,
"KMM Group, Ltd.",CY,CY,https://www.kmmgrp.com,kmmgrp.com,LinkedIn,200 Commerce Drive,Hatfield,PA,19440,(215) 855-2626,Automotive; Industrial; Aerospace (secondary),Mold design and build; Tool and die manufacturing; CNC machining; Wire & sinker EDM; Engineering and repair,"~45,000 (site)",~80 (public: LinkedIn 2024),~$18M (calc from employees),,Privately held,Makino D200Z (5-axis) ×2; Sodick AG600L (Wire EDM) ×2; Hexagon Global (CMM) ×1,Yes,Yes,Yes,No,,NJ-E.Pa,No,
Hart Precision Machining Corp.,CY,CY,https://www.hartprecision.com,hartprecision.com,LinkedIn,7600 Copley Park,Cincinnati,OH,45242,(513) 793-2333,Packaging; Consumer products; Automotive,Precision injection mold design & build; Hot runner systems; Mold repair & maintenance; Engineering support,"~30,000 (site)",~50 (public: LinkedIn 2024),~$10M (calc from employees),,Privately owned,Makino F8 (3-axis) ×2; Sodick AQ537L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,Yes,Yes,No,,No region,No,
"Tools, Inc.",C?,C?,https://www.toolsinc.com,toolsinc.com,LinkedIn,200 W Boden St,Sussex,WI,53089,(262) 246-0500,Medical devices; Automotive; Consumer products; Industrial,Custom injection mold design & build; CNC machining; Mold repair and engineering changes; Prototyping and sampling,"25,000 (site)",~45 (public: LinkedIn 2024),~$9M (calc from employees),,Privately owned,Makino D200Z (5-axis) ×3; Sodick VL600Q (Wire EDM) ×2; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,No,,Wisc,Yes,
Minth Group Ltd.,C?,C?,https://www.minthgroup.com,minthgroup.com,LinkedIn,4100 Springdale Road,Cincinnati,OH,45251,(513) 825-8888,Medical; Automotive; Electronics; Consumer goods,Precision mold design & build; Plastic injection molding; Micro-molding; Mold maintenance & repair; Tooling support,"~35,000 (site)",~65 (public: LinkedIn 2024),~$12M (public: D&B 2023),,Privately held,null,Yes,Yes,Yes,No,,No region,Yes,
Roberson Machine Company,C?,C?,https://robersontool.com/,robersontool.com,Grok,4416 Glaser Hollow Rd,Bland,MO,65014,(573) 646-3996,Aerospace & Defense; Automotive; Medical/Medical Devices; Oil & Energy; Packaging; Food & Beverage; Electronics; OEM/Industrial,CNC milling (3–5 axis); CNC turning; multi-axis machining; wire EDM; prototyping; contract manufacturing; assembly; CMM/QA,,,,≈23 (est. c.2002),Rob & Brad Roberson (owners/leadership),null,Yes,Yes,,,,No region,Yes,
Toledo Metal Spinning Company,C?,C?,https://toledometalspinning.com/,toledometalspinning.com,Grok,1819 Clinton St,Toledo,OH,43607,(419) 214-3245,Food processing; Plastics; Transportation/Marine; Industrial machinery & equipment; Architecture/Lighting; Medical/Pharma; Sanitation & Recycling,"Metal spinning (manual/CNC, shear, playback); deep drawing (incl. hydroforming); metal stamping; rolled & welded cylinders/tubes; precision machining & milling; laser cutting; welding; polishing; beading/edge rolling; engineering & prototyping",,,,,Family leadership (Fankhauser family),null,Yes,,,Yes,,No region,Yes,
"Best Tool & Engineering Company, Inc.",CY,CY,https://bestool.com/,bestool.com,Grok,34730 Nova Dr,Clinton Township,MI,48035,(586) 792-6500,Automotive; Healthcare/Medical; Consumer/Industrial products,Plastic injection molding; vibration welding; hot plate welding; mold/tool build; fixtures; engineering/design support; prototypes to production,"≈10,000 (calc)",11–50 (LinkedIn 2025),≈$6M (calc),34 (founded 1991),Joe Cherluck (President); privately held,Makino V56i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,,,Plant 1 designation noted,Mich,Yes,
